Domain,Area,Element,Item,Year,Unit,Value
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya beans","2017","t","-207525.49"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya beans","2018","t","481384.64"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya beans","2019","t","-17695.28"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya beans","2020","t","-183147.43"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya beans","2021","t","-71143.2"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya beans","2010","t","889555.46"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya beans","2011","t","855892.61"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya beans","2012","t","664338.47"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya beans","2013","t","649190.59"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya beans","2014","t","997624.4"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya beans","2015","t","773695.69"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya beans","2016","t","1051759.81"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya beans","2017","t","724634.86"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya beans","2018","t","1122614.49"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya beans","2019","t","1420916.93"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya beans","2020","t","1299657.58"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya beans","2021","t","1207132.78"
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya beans","2010","t","36927.21"
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya beans","2011","t","40662.91"
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya beans","2012","t","48719.8"
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya beans","2013","t","51719.35"
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya beans","2014","t","84242.3"
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya beans","2015","t","102402.12"
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya beans","2016","t","101665.74"
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya beans","2017","t","93008.96"
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya beans","2018","t","118276.8"
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya beans","2019","t","61611.58"
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya beans","2020","t","69454.8"
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya beans","2021","t","70722.08"
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya beans","2010","t","92508.81"
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya beans","2011","t","89287.71"
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya beans","2012","t","92758.29"
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya beans","2013","t","163471.81"
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya beans","2014","t","139349.12"
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya beans","2015","t","158039.08"
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya beans","2016","t","149771.93"
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya beans","2017","t","140339.93"
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya beans","2018","t","184486.94"
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya beans","2019","t","123382.41"
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya beans","2020","t","131713"
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya beans","2021","t","135803.75"
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya beans","2010","t","12446421.15"
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya beans","2011","t","11922511.9"
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya beans","2012","t","12328751.98"
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya beans","2013","t","12947353.2"
