Domain,Area,Element,Item,Year,Unit,Value
"Supply Utilization Accounts (2010-)","European Union (27)","Export Quantity","Soya beans","2015","t","1712393.22"
"Supply Utilization Accounts (2010-)","European Union (27)","Export Quantity","Soya beans","2016","t","1849740.3"
"Supply Utilization Accounts (2010-)","European Union (27)","Export Quantity","Soya beans","2017","t","2269054.11"
"Supply Utilization Accounts (2010-)","European Union (27)","Export Quantity","Soya beans","2018","t","2068119.23"
"Supply Utilization Accounts (2010-)","European Union (27)","Export Quantity","Soya beans","2019","t","2140832.46"
"Supply Utilization Accounts (2010-)","European Union (27)","Export Quantity","Soya beans","2020","t","2285696.08"
"Supply Utilization Accounts (2010-)","European Union (27)","Export Quantity","Soya beans","2021","t","2005339.37"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya beans","2010","t","889555.46"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya beans","2011","t","855892.61"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya beans","2012","t","664338.47"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya beans","2013","t","649190.59"
